Sensor Name: tty
Initial Resistance: 40 ohms
Time (s), Voltage (V)
80.16, 1.96
80.28, 1.96
80.40, 1.96
80.51, 1.96
80.63, 1.96
80.75, 1.96
80.86, 1.96
80.98, 1.96
81.10, 1.95
81.21, 1.96
81.33, 1.96
81.45, 1.96
81.56, 1.96
81.68, 1.96
81.79, 1.96
81.91, 1.96
82.03, 1.96
82.14, 1.96
82.26, 1.96
82.38, 1.96
82.49, 1.96
82.61, 1.96
82.73, 1.96
82.84, 1.96
82.96, 1.96
83.08, 1.96
83.19, 1.95
83.31, 1.96
83.43, 1.95
83.54, 1.96
83.66, 1.95
83.78, 1.96
83.89, 1.95
84.01, 1.95
84.13, 1.95
84.24, 1.95
84.36, 1.95
84.48, 1.96
84.59, 1.96
84.71, 1.95
84.83, 1.96
84.94, 1.96
85.06, 1.95
85.17, 1.96
85.29, 1.96
85.41, 1.96
85.52, 1.96
85.64, 1.96
85.76, 1.96
85.87, 1.96
85.99, 1.96
86.11, 1.96
86.22, 1.95
86.35, 1.96
86.47, 1.96
86.59, 1.96
86.70, 1.96
86.82, 1.95
86.94, 1.96
87.06, 1.95
87.17, 1.96
87.29, 1.95
87.41, 1.95
87.52, 1.95
87.64, 1.95
87.75, 1.95
87.87, 1.95
87.99, 1.95
88.10, 1.96
88.22, 1.95
88.34, 1.95
88.46, 1.95
88.57, 1.96
88.69, 1.95
88.80, 1.96
88.92, 1.96
89.04, 1.96
89.15, 1.96
89.27, 1.96
89.39, 1.96
89.50, 1.95
89.62, 1.96
89.74, 1.96
89.85, 1.95
89.97, 1.96
90.09, 1.95
90.20, 1.95
90.32, 1.96
90.44, 1.95
90.55, 1.95
90.67, 1.95
90.79, 1.95
90.90, 1.95
91.02, 1.95
91.13, 1.95
91.25, 1.95
91.37, 1.95
91.48, 1.95
91.60, 1.95
91.72, 1.96
91.84, 1.95
91.95, 1.94
92.07, 1.96
92.18, 1.95
92.30, 1.95
92.42, 1.96
92.53, 1.96
92.65, 1.95
92.77, 1.96
92.88, 1.96
93.00, 1.96
93.12, 1.95
93.23, 1.95
93.35, 1.96
93.47, 1.95
93.58, 1.96
93.70, 1.95
93.82, 1.95
93.93, 1.95
94.05, 1.94
94.18, 1.95
94.30, 1.95
94.42, 1.95
94.53, 1.95
94.65, 1.95
94.77, 1.94
94.88, 1.95
95.00, 1.95
95.11, 1.95
95.23, 1.95
95.35, 1.95
95.47, 1.95
95.58, 1.95
95.70, 1.96
95.81, 1.95
95.93, 1.94
96.05, 1.95
96.16, 1.95
96.28, 1.94
96.40, 1.96
96.51, 1.96
96.63, 1.95
96.75, 1.95
96.86, 1.96
96.98, 1.95
97.11, 1.94
97.23, 1.95
97.35, 1.95
97.46, 1.95
97.58, 1.95
97.70, 1.94
97.81, 1.95
97.93, 1.95
98.05, 1.95
98.16, 1.94
98.28, 1.94
98.40, 1.94
98.51, 1.94
98.63, 1.94
98.74, 1.94
98.86, 1.94
98.98, 1.95
99.09, 1.94
99.21, 1.95
99.33, 1.95
99.44, 1.94
99.56, 1.95
99.68, 1.95
99.79, 1.95
99.91, 1.94
100.03, 1.95
100.14, 1.95
100.26, 1.95
100.38, 1.95
100.49, 1.95
100.61, 1.95
100.73, 1.94
100.84, 1.95
100.96, 1.94
101.08, 1.95
101.19, 1.94
101.31, 1.94
101.43, 1.94
101.54, 1.94
101.66, 1.95
101.77, 1.94
