Sensor Name: test_1uf
Initial Resistance: 80 ohms
Time (s), Voltage (V)
143.82, 2.50
143.93, 2.51
144.05, 2.50
144.17, 2.50
144.28, 2.51
144.40, 2.50
144.52, 2.50
144.63, 2.51
144.75, 2.50
144.87, 2.50
144.98, 2.51
145.10, 2.51
145.22, 2.49
145.33, 2.51
145.45, 2.50
145.56, 2.50
145.68, 2.50
145.80, 2.49
145.92, 2.50
146.03, 2.49
146.15, 2.50
146.27, 2.49
146.38, 2.50
146.50, 2.50
146.62, 2.50
146.73, 2.50
146.85, 2.49
146.96, 2.50
147.08, 2.50
147.20, 2.51
147.31, 2.50
147.43, 2.50
147.55, 2.50
147.66, 2.49
147.78, 2.51
147.90, 2.50
148.01, 2.50
148.13, 2.51
148.25, 2.50
148.36, 2.49
148.48, 2.49
148.60, 2.50
148.71, 2.49
148.83, 2.50
148.95, 2.50
149.06, 2.49
149.18, 2.50
149.30, 2.49
149.41, 2.50
149.53, 2.49
149.65, 2.50
149.76, 2.49
149.88, 2.50
150.00, 2.49
150.11, 2.49
150.23, 2.49
150.34, 2.49
150.46, 2.49
150.58, 2.49
150.69, 2.50
150.81, 2.49
150.93, 2.50
151.05, 2.49
151.16, 2.49
151.28, 2.50
151.39, 2.49
151.51, 2.49
151.63, 2.50
151.74, 2.49
151.86, 2.49
151.98, 2.50
152.09, 2.49
152.21, 2.49
152.33, 2.50
152.44, 2.49
152.56, 2.49
152.68, 2.50
152.79, 2.49
152.91, 2.50
153.03, 2.49
153.14, 2.50
153.26, 2.49
153.38, 2.49
153.49, 2.48
153.61, 2.49
153.72, 2.49
153.84, 2.49
153.96, 2.49
154.07, 2.49
154.19, 2.49
154.31, 2.49
154.43, 2.49
154.54, 2.49
154.66, 2.50
154.77, 2.49
154.89, 2.48
155.01, 2.50
155.12, 2.49
155.24, 2.49
155.36, 2.49
155.47, 2.49
155.59, 2.49
155.71, 2.49
155.83, 2.48
155.94, 2.48
156.06, 2.49
156.17, 2.49
156.29, 2.49
156.41, 2.49
156.52, 2.48
156.64, 2.49
156.76, 2.48
156.87, 2.49
156.99, 2.48
157.11, 2.48
157.22, 2.48
157.34, 2.48
157.45, 2.48
157.57, 2.48
157.69, 2.48
157.81, 2.49
157.92, 2.48
158.04, 2.48
158.15, 2.48
158.27, 2.48
158.39, 2.49
158.50, 2.48
158.62, 2.48
158.74, 2.49
158.85, 2.48
158.97, 2.49
159.09, 2.49
159.20, 2.48
159.32, 2.48
159.44, 2.49
159.55, 2.48
159.67, 2.48
159.79, 2.49
159.90, 2.48
160.02, 2.49
160.14, 2.48
160.25, 2.48
160.37, 2.48
160.49, 2.47
160.60, 2.48
160.72, 2.47
160.83, 2.48
160.95, 2.48
161.07, 2.48
161.19, 2.48
161.30, 2.48
161.42, 2.48
161.54, 2.48
161.65, 2.48
161.77, 2.48
161.89, 2.48
162.00, 2.48
162.12, 2.49
162.24, 2.48
162.35, 2.48
162.47, 2.48
162.59, 2.48
162.70, 2.48
162.82, 2.48
162.93, 2.48
163.05, 2.48
163.17, 2.48
163.28, 2.48
163.40, 2.47
163.52, 2.48
163.63, 2.47
163.75, 2.48
163.87, 2.47
163.98, 2.48
164.10, 2.47
164.22, 2.48
164.33, 2.47
164.45, 2.48
164.60, 2.47
164.72, 2.47
164.83, 2.47
164.95, 2.47
165.06, 2.47
165.18, 2.47
165.30, 2.48
165.41, 2.47
165.53, 2.48
165.65, 2.47
165.76, 2.48
165.88, 2.48
166.00, 2.47
166.11, 2.47
166.23, 2.48
166.35, 2.47
166.47, 2.48
166.60, 2.48
166.75, 2.47
166.87, 2.47
166.99, 2.48
167.12, 2.46
167.23, 2.46
167.35, 2.47
167.47, 2.46
167.58, 2.47
167.70, 2.46
167.81, 2.47
167.93, 2.46
168.04, 2.46
168.16, 2.46
168.28, 2.46
168.40, 2.46
168.51, 2.46
168.63, 2.46
168.75, 2.46
168.86, 2.46
168.98, 2.46
169.10, 2.46
169.21, 2.46
169.33, 2.46
169.46, 2.46
169.58, 2.47
169.70, 2.47
169.81, 2.46
169.93, 2.46
170.04, 2.47
170.16, 2.46
170.28, 2.46
170.39, 2.46
170.53, 2.46
170.64, 2.46
170.76, 2.46
170.88, 2.45
170.99, 2.46
171.11, 2.45
171.24, 2.46
171.36, 2.45
171.48, 2.46
171.61, 2.45
171.73, 2.45
171.86, 2.45
171.98, 2.45
172.09, 2.45
172.21, 2.45
172.32, 2.45
172.44, 2.45
172.56, 2.45
172.68, 2.45
172.79, 2.45
172.91, 2.45
173.02, 2.45
173.14, 2.46
173.26, 2.45
173.37, 2.45
173.49, 2.46
173.61, 2.45
173.72, 2.45
173.84, 2.46
173.96, 2.45
174.07, 2.45
174.19, 2.45
174.30, 2.45
174.42, 2.44
174.54, 2.45
174.66, 2.43
174.79, 2.45
174.91, 2.44
175.02, 2.45
175.14, 2.44
175.26, 2.44
175.37, 2.44
175.49, 2.45
175.60, 2.44
175.72, 2.44
175.84, 2.44
175.95, 2.44
176.07, 2.44
176.19, 2.44
176.30, 2.44
176.42, 2.44
176.54, 2.44
176.65, 2.45
176.77, 2.44
176.89, 2.44
177.00, 2.45
177.12, 2.44
177.24, 2.45
177.35, 2.45
177.47, 2.44
177.59, 2.44
177.70, 2.45
177.82, 2.45
177.94, 2.44
178.05, 2.45
178.17, 2.44
178.29, 2.45
178.40, 2.43
178.52, 2.44
178.63, 2.44
178.75, 2.44
178.87, 2.44
178.99, 2.43
179.10, 2.44
179.22, 2.44
179.34, 2.44
179.45, 2.44
179.57, 2.44
179.68, 2.44
179.80, 2.44
179.92, 2.44
180.03, 2.44
180.15, 2.45
180.27, 2.44
180.38, 2.44
180.50, 2.44
180.62, 2.44
180.73, 2.45
